transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
e1021ab7-c2de-4791-994b-bab86e6fbe3e,FCHN-VTSI-7FA-BRE-0,DOM58085,transfer,2252.22,,,DE62U9486200442637789135342,IT15L8867763953460638982311553,28548.04,Rent payment Jan - Living Spaces,2087-01-02T08:17:55
e218452e-3956-4432-993c-1bd0e37f649e,EMP68176,FCHN-VTSI-7FA-BRE-0,transfer,7191.15,,,IT72F1298460302117045459871477,DE62U9486200442637789135342,35739.19,Salary payment Jan,2087-01-02T10:48:50
270e231d-55c4-43d6-b6da-3aaad846b3c9,EMP40508,NNLL-BRTU-7D3-RAV-0,transfer,2665.73,,,IT30D3332289310481168502853456,IT30K9711948403425025862011,17916.33,Salary payment Jan,2087-01-03T13:11:45
86b426fa-0710-4a5f-a552-355cff29541c,EMP98299,VLNT-SLVS-7DC-PIO-0,transfer,4020.92,,,IT87T1703925422561696849840607,IT10L9520192660655169390809,18978.06,Salary payment Jan,2087-01-03T19:31:29
ec7665bd-bda0-47b3-8699-e4b5c9aa61f8,VLNT-SLVS-7DC-PIO-0,HOME36805,transfer,1134.47,,,IT10L9520192660655169390809,IT28N9805865889733607058737759,17843.59,Rent payment Jan - Rent&Go,2087-01-03T20:22:10
11c44b85-5346-44eb-acec-518d0dfc5759,EMP21818,CSPR-GRHL-800-ILM-1,transfer,2808.26,,,IT80J6407420077249896040905199,DE35G0316479870123653193377,8691.08,Salary payment Jan,2087-01-04T13:13:57
007aefa4-08a4-4688-a9e9-9e272d3fba10,WTZL-TNAI-80B-PFA-0,PROP93151,transfer,1168.68,,,DE52R2345866103953164007851,IT93C8474527566445343755825862,20611.36,Rent payment Jan - Casa Tua Pfarrkirchen,2087-01-04T14:00:02
e5e8217d-0a1c-45a4-ac07-48a37ab0dca1,RTZO-JMIX-7D1-GAU-0,ABIT73300,transfer,879.54,,,IT76E2566445203894254417156918,IT41W5249834520399038355926291,3180.17,Rent payment Jan - Residenze Milano,2087-01-04T16:29:31
d9db1b1d-d3d6-4ebb-b193-aaf8c4a52873,EMP79924,RTZO-JMIX-7D1-GAU-0,transfer,2928.32,,,IT21Q6723621968485733505679507,US47O8560397578096463876194,12400.97,Salary payment Jan,2087-01-05T09:25:32
5b911e36-da96-40ec-86bd-21b3da5c0002,CSPR-GRHL-800-ILM-1,RENT75951,transfer,919.27,,,IT96B7334948369810948896582581,IT89E2491832035984069062108313,1601.94,Rent payment Jan - Home Living Ilmenau,2087-01-05T10:47:43
